PAYS,VILLE,TYPE DE PARTENAIRE,NOM DU PARTENAIRE,SPECIALITE,TELEPHONE,E-MAIL,Latitude,Longitude,QUARTIER,ADRESSE
TOGO,LOME,CABINET,CABINET EVONAWO,KINESITHERAPIE,22 26 01 28,Pas d'adresse mail,6.1616875,1.2274375,"Lome Tokoin Forever, 149, Rue Alokoègbé, von avant le Commissariat central","Tokoin Forever, 149, Rue Alokoègbé, von avant le Commissariat central"
TOGO,LOME,CABINET,CABINET MEDICAL AMOUTIVE,"OPHTALMOLOGIE, NEUROLOGIE, CARDIOLOGIE",22 21 82 05,bengue45@yahoo.fr,6.1318125,1.2256875,Lome Lome,Lome
TOGO,LOME,CABINET,CABINET MEDICAL D'OPHTALMOLOGIE  RAVILIG,OPHTALMOLOGIE,22 20 54 26 ; 92 43 10 74 / 90 08 60 65,adorglohedith@gmail.com,6.1433125,1.2045625,Lome Tokoin Hôpital,"Tokoin Hôpital, 5 rue Bèkpo (devant Hotel GRAAL)"
TOGO,LOME,CABINET,CABINET MEDICAL LA COMPASSION,"MEDECINE GENERALE, ANALYSES MEDICALES (Bacterio, Immuno, Bioch, Hémato), IMAGERIE MEDICALE (Echo), KINESITHERAPIE, OTO-RHINO-LARYNGOLOGIE",70420222 ; 22257075 / 90126626,cliniklacompassion@yahoo.fr ; jptgba@yahoo.fr;jptagba@cliniquelacompassionsante.com,6.1721875,1.1935625,"Lome Adidogomé Avénou, Rue Dr ANTHONY","Adidogomé Avénou, Rue Dr ANTHONY"
TOGO,LOME,CABINET,CABINET MEDICAL LE LIS,OPHTALMOLOGIE,22 21 07 33,ytete90@yahoo.fr,6.1355625,1.2233125,"Lome Quartier des Etoiles – Wétrivi Kondji, 15, Av. de la Libération, Imm. Inam, face BOAD","Quartier des Etoiles – Wétrivi Kondji, 15, Av. de la Libération, Imm. Inam, face BOAD"
TOGO,LOME,CABINET,CABINET MEDICAL ORL DR AZIABLE,OTO-RHINO-LARYNGOLOGIE (ORL),22 22 45 90,paziable@yahoo.fr,6.1300625,1.2385625,Lome Rue de l'OCAM,43 Rue de l'OCAM
TOGO,LOME,CABINET,CABINET MEDICAL SAINT MICHEL,"MEDECINE GENERALE, PEDIATRIE, DERMATOLOGIE, ORL, CARDIOLOGIE",22 51 87 33 ; 92242010 ;90 00 35 16 / 90 04 47 27,cabinetmedicalsaintmichel@gmail.com;klouviana2009@gmail.com,6.1679375,1.2020625,Lome Attikoumé,Attikoumé
TOGO,LOME,CABINET,CABINET MEDICAL SPECIALISE,HEPATO-GASTRO-ENTEROLOGIE,22 51 66 13,Pas d'adresse mail,6.1885625,1.2079375,Lome Lome,Lome
TOGO,LOME,CLINIQUE,CABINET MEDICO-DERMATOLOGIQUE DE LOME (CMDL),"PEDIATRIE, DERMATOLOGIE, VENEREOLOGIE, ALLERGOLOGIE, ANALYSES MEDICALES",70 41 05 94 / 90 82 65 14,gnasswag2015@yahoo.fr;barthelemysaka@yahoo.fr,6.1990625,1.1836875,Lome Avédzi Limousine à 300 m en allant vers UTB/Marché Totsi,Avédzi Limousine à 300 m en allant vers UTB/Marché Totsi
TOGO,LOME,CENTRE D'OPTIQUE,CBVOM,OPTIQUE,91526292,capkuro@gmail.com,6.1869375,1.2714375,Lome Lome,Lome
TOGO,KPALIME,HOPITAL,CENTRE HOSPITALIER PREFECTORAL (CHP)  KPALIME,"MEDECINE GENERALE, GYNECOLOGIE OBSTETRIQUE, CHIRURGIE, ANALYSES MEDICALES",24 41 04 15 / 24 41 10 20 / 99539773/90234702,hopitalkpalime80@gmail.com,6.9128125,0.6276875,Kpalime Kpalime,Kpalime
TOGO,ANEHO,HOPITAL,CENTRE HOSPITALIER PREFECTORAL (CHP) ANEHO,"MEDECINE GENERALE, GYNECOLOGIE OBSTETRIQUE, ANALYSES MEDICALES",23310017 ; 91999917 (M.ASSIONGBON Folly),chpadjido@gmail.com,6.2273125,1.5814375,Aneho Aneho,Aneho
TOGO,BASSAR,HOPITAL,CENTRE HOSPITALIER PREFECTORAL (CHP) BASSAR,"MEDECINE GENERALE, GYNECOLOGIE OBSTETRIQUE, CHIRURGIE, ANALYSES MEDICALES",90 99 94 30,Pas d'adresse mail,9.2643125,0.7805625,Bassar Bassar,Bassar
TOGO,BLITTA,HOPITAL,CENTRE HOSPITALIER PREFECTORAL (CHP) DE BLITTA,"MEDECINE GENERALE, GYNECOLOGIE OBSTETRIQUE, CHIRURGIE, ANALYSES MEDICALES",25 55 53 34/90 05 93 75,dadout@yahoo.fr,8.3318125,0.9876875,Blitta Blitta,Blitta
TOGO,VOGAN,HOPITAL,CENTRE HOSPITALIER PREFECTORAL (CHP) DE VOGAN,"MEDECINE GENERALE, CHIRURGIE, GYNECOLOGIE OBSTETRIQUE, PEDIATRIE, ANALYSES MEDICALES",70415845 / 90387405 / 90358710,hopitalvogan@gmail.com;jeanadje122@gmail.com,6.3476875,1.5240625,Vogan,Vogan
TOGO,TSEVIE,HOPITAL,CENTRE HOSPITALIER REGIONAL (CHR) TSEVIE,"MEDECINE GENERALE, GYNECOLOGIE OBSTETRIQUE, CHIRURGIE, ANALYSES MEDICALES",90 21 25 32/ 97 40 94 70,jawuissi@yahoo.fr;chrtsevie@yahoo.fr,6.4314375,1.2228125,Tsevie Tsevie,Tsevie
TOGO,ATAKPAME,HOPITAL,CENTRE HOSPITALISER REGIONAL (CHR) ATAKPAME,"MEDECINE GENERALE, GYNECOLOGIE OBSTETRIQUE, CHIRURGIE, ANALYSES MEDICALES",00228 24 40 00 01/90 08 47 95,chratakpame@gmail.com,7.5325625,1.1263125,Atakpame Atakpame,Atakpame
TOGO,SOKODE,HOPITAL,CENTRE MEDICAL DU PUITS DE JACOB LA SOURCE,"MEDECINE GENERALE, HEPATO-GASTRO-ENTEROLOGIE, MEDECINE INTERNE, PEDIATRIE, DERMATOLOGIE, ENDOCRINOLOGIE, HEMATOLOGIE, ANALYSES MEDICALES (Hémato, Immuno, Bacterio, Bioch, Parasito), IMAGERIE MEDICALE (Echo, Radio), ECG",25 50 05 11 / 93681868,directioncmpj@puitsdejacob.com;admincmpj@puitsdejacob.com;tchegbati31@gmail.com,9.0145625,1.1381875,Sokode Sokode,Sokode
TOGO,LOME,CLINIQUE,CENTRE MEDICO CHIRURGICAL SOURCE DE VIE,"MEDECINE GENERALE, GYNECOLOGIE OBSTETRIQUE, CHIRURGIE, PEDIATRIE, ANALYSES MEDICALES",22 33 11 10 ; 23361916 ; 90355055,sourcedeviehopital@gmail.com;drnapolazaro@hopitalsourcedevie.tg,6.1935625,1.1774375,Lome Avédji sito,Avédji sito
TOGO,LOME,CLINIQUE,CENTRE NATIONAL DE RECHERCHE ET DE SOINS AUX DREPANOCYTAIRES,"DREPANOCYTOSE, ANALYSES MEDICALES",22 50 13 16 ; 70 21 97 30 / 90312289 / 90 18 25 51,cnrsd.tg@gmail.com;2008magnang@gmail.com;kaizer.kossi@yahoo.fr,6.1816875,1.2141875,Lome Lome,"CHU Campus, près du pavillon scanner"
TOGO,SOTOUBOUA,HOPITAL,CHP SOTOUBOUA,"MEDECINE GENERALE, GYNECOLOGIE OBSTETRIQUE, ANALYSES MEDICALES (Hémato, Immuno, Bioch, Parasito), CHIRURGIE, KINESITHERAPIE, OPHTALMOLOGIE, PEDIATRIE, IMAGERIE MEDICALE (Radio, Echo)",25503014; 90496612; 90317696,edroisa7@gmail.com;kkverlaine@gmail.com,8.5576875,0.9779375,Sotouboua Sotouboua,Sotouboua
TOGO,KARA,HOPITAL,CHR KARA TOMDE,"MEDECINE GENERALE, GYNECOLOGIE OBSTETRIQUE, CHIRURGIE, ANALYSES MEDICALES",26 60 02 50,chrkaratomde@gmail.com,9.5616875,1.2024375,Kara Kara,Kara
TOGO,SOKODE,HOPITAL,CHR SOKODE,"MEDECINE GENERALE, GYNECOLOGIE OBSTETRIQUE, CHIRURGIE, ANALYSES MEDICALES",22 50 00 76 ,yawovios4@gmail.com;chrsokode2018@gmail.com;chrsokode1977@yahoo.fr,8.9851875,1.1353125,Sokode Sokode,Sokode
TOGO,LOME,HOPITAL,CHU CAMPUS,"MEDECINE GENERALE, GYNECOLOGIE OBSTETRIQUE, CHIRURGIE, PEDIATRIE, NEUROLOGIE, CARDIOLOGIE, HEPATO-GASTRO-ENTEROLOGIE, RHUMATOLOGIE, ANALYSES MEDICALES",22 21 25 01,Pas d'adresse mail,6.1794375,1.2126875,Lome Lome,Lome
TOGO,KARA,HOPITAL,CHU KARA,"MEDECINE GENERALE, GYNECOLOGIE OBSTETRIQUE, CHIRURGIE, PEDIATRIE, NEUROLOGIE, CARDIOLOGIE, HEPATO-GASTRO-ENTEROLOGIE, RHUMATOLOGIE, ANALYSES MEDICALES, OTO-RHINO-LARYNGOLOGIE (ORL)",70353696 ; 90145599 / 91 27 83 86,hopital.chukara@gmail.com; amanga_ni@yahoo.fr; kabamartial@yahoo.fr,9.5564375,1.1829375,"Kara Kara, BP: 18","Kara, BP: 18"
TOGO,LOME,HOPITAL,CHU SYLVANUS OLYMPIO,"MEDECINE GENERALE, GYNECOLOGIE OBSTETRIQUE, CHIRURGIE, PEDIATRIE, NEUROLOGIE, CARDIOLOGIE, HEPATO-GASTRO-ENTEROLOGIE, RHUMATOLOGIE, ANALYSES MEDICALES",22 21 25 01 ; 22 21 05 01,Pas d'adresse mail,6.1441875,1.2078125,Lome Lome,Lome
TOGO,LOME,CLINIQUE,CLINIQUE ALPIA,"MEDECINE GENERALE, GYNECOLOGIE OBSTETRIQUE, ANALYSES MEDICALES",22 21 63 95 ; 90 11 48 80,alpia_24@yahoo.fr,6.1386875,1.2208125,Lome Lome,Lome
TOGO,LOME,CLINIQUE,CLINIQUE AMOUTIVE,MEDECINE GENERALE,22 22 44 00,Pas d'adresse mail,6.1318125,1.2256875,Lome Lome,Lome
TOGO,LOME,HOPITAL,HOPITAL PRIVE AUTEL D'ELIE,"MEDECINE GENERALE, GYNECOLOGIE OBSTETRIQUE, CHIRURGIE, PEDIATRIE, NEUROLOGIE, CARDIOLOGIE, HEPATO-GASTRO-ENTEROLOGIE, RHUMATOLOGIE, ANALYSES MEDICALES, RADIOLOGIE ET IMAGERIE MEDICALE, CARDIOLOGIE INTERVENTIONNELLE",22 22 63 13 ; 92 50 78 22,auteldelie@gmail.com;emmanuel92904251@gmail.com,6.1405625,1.2436875,Lome Bè,Rue du Temple; Bè Pa de Souza Nétimé
TOGO,LOME,CLINIQUE,CLINIQUE AVOSANTO,MEDECINE GENERALE,22 5 50 85 ; 22 33 55 54,Pas d'adresse mail,6.2376875,1.2059375,Lome Lome,Lome
TOGO,LOME,CLINIQUE,CLINIQUE BARRUET,"ANATOMIE PATHOLOGIQUE, ANESTHESIE REANIMATION, CARDIOLOGIE, CHIRURGIE (DIGESTIVE, GENERALE), DERMATOLOGIE, DIABETOLOGIE, MEDECINE GENERALE, MEDECINE INTERNE, NEUROLOGIE, OPHTALMOLOGIE, OTO-RHINO-LARYNGOLOGIE, IMAGERIE MEDICALE, TRAUMATOLOGIE, ANALYSES MEDICALES ",22 21 21 97 / 90042473,drbarruet@clinicbarruet.com;willydebarruet@gmail.com,6.1498125,1.2531875,"Lome Gbényédji, 2753, Bd Félix Houphouët Boigny, non loin de Millenium Microfinance","Gbényédji, 2753, Bd Félix Houphouët Boigny, non loin de Millenium Microfinance"
TOGO,LOME,CLINIQUE,CLINIQUE BEL AIR,"MEDECINE GENERALE, CHIRURGIE, GYNECOLOGIE OBSTETRIQUE, RHUMATOLOGIE, ANALYSES MEDICALES",22 22 98 83,belairclinique@yahoo.com;aimbey@yahoo.fr,6.1331875,1.2416875,Lome Lome,Lome
TOGO,LOME,CLINIQUE,CLINIQUE BETHESDA,MEDECINE GENERALE,22 50 48 46; 90 28 68 20,cliniquebethesda1@gmail.com,6.2066875,1.1834375,"Lome Adidoadin, Route Léo 2000, non loin de la Phcie LAUS DEO","Adidoadin, Route Léo 2000, non loin de la Phcie LAUS DEO"
TOGO,LOME,CLINIQUE,CLINIQUE BIASA,"MEDECINE GENERALE, GYNECOLOGIE OBSTETRIQUE, CHIRURGIE, PEDIATRIE, NEUROLOGIE, CARDIOLOGIE, HEPATO-GASTRO-ENTEROLOGIE, RHUMATOLOGIE, ANALYSES MEDICALES",22 21 11 37,azikaro@yahoo.fr;dg@cliniquebiasa.org,6.1336875,1.2133125,Lome Lome,Lome
TOGO,LOME,CLINIQUE,CLINIQUE CHIRURGICALE DE LOME,CHIRURGIE,22 25 10 53 ; 99038930,clinique_ccl@yahoo.fr,6.1894375,1.1931875,Lome Lome,Lome
TOGO,LOME,CLINIQUE,CLINIQUE CONTINENTALE,MEDECINE GENERALE,00228 99 49 99 25,doskoj@yahoo.fr,6.2259375,1.1983125,"Lome Agoè Assiyéyé, Rue du Carrefour Bleu, Vers Minamadou, à côté de l'Ecole la Source","Agoè Assiyéyé, Rue du Carrefour Bleu, Vers Minamadou, à côté de l'Ecole la Source"
TOGO,LOME,CLINIQUE,HOPITAL PRIVE ISIS (ex CLINIQUE ISIS),"MEDECINE GENERALE, GYNECOLOGIE OBSTETRIQUE, CHIRURGIE, PEDIATRIE, ANALYSES MEDICALES",222563005 / 91750867 / 97432576/ 93072085/ 98187975--92100690,agboadis@yahoo.fr;kondow.charfa@gmail.com; cliniqueisis@yahoo.com,6.1966875,1.1619375,"Lome Adidogomé, Amadahomé, derrière le Lycée Technique, à côté du magasin de l'ANSAT","Adidogomé, Amadahomé, derrière le Lycée Technique, à côté du magasin de l'ANSAT"
TOGO,LOME,CLINIQUE,CLINIQUE DE L'AEROPORT,"MEDECINE GENERALE, CHIRURGIE, GYNECOLOGIE OBSTETRIQUE, ANALYSES MEDICALES",22 26 90 12;90 82 18 22,vkcliniqueaeroport@yahoo.fr,6.1688125,1.2464375,"Lome Sito-Aéroport, 16, Rue de Fazao ","Sito-Aéroport, 16, Rue de Fazao "
TOGO,LOME,CLINIQUE,CLINIQUE DE TOTSI,"MEDECINE GENERALE, CHIRURGIE, GYNECOLOGIE OBSTETRIQUE, ANALYSES MEDICALES",90 81 07 44/22 35 40 91,cliniquedetotsi@gmail.com,6.1950625,1.1820625,"Lome Totsi, Non loin du bar 2N","Totsi, Non loin du bar 2N"
TOGO,LOME,C/DENTAIRE,CLINIQUE DENTAIRE NIFA,CHIRURGIE DENTAIRE,22 21 32 46,clindentnifa@yahoo.fr;kagbedey@yahoo.fr,6.1339375,1.2140625,Lome Lome,Lome
TOGO,LOME,CLINIQUE,CLINIQUE DES ETOILES,MEDECINE GENERALE,22 21 08 28,pkodjolo@gmail.com,6.1348125,1.2258125,"Lome Adoboukomé, 20, Rue de Brazza","Adoboukomé, 20, Rue de Brazza"
TOGO,LOME,CLINIQUE,CLINIQUE INTERNATIONALE DR KODOM,"MEDECINE GENERALE, CHIRURGIE, GYNECOLOGIE OBSTETRIQUE, ANALYSES MEDICALES",22 51 89 87 ; 90 18 85 95,Pas d'adresse mail,6.1706875,1.1978125,Lome Lome,Lome
TOGO,LOME,CLINIQUE,CLINIQUE INTERNATIONALE LES ELFES,"MEDECINE GENERALE, GYNECOLOGIE OBSTETRIQUE, ANALYSES MEDICALES",96969631 ; 91748888 / 91694444,cliniqueleselfes@gmail.com;dr.boukari@gmail.com,6.2176875,1.1969375,"Lomé, Agoè",Réserve de la Gendarmerie
TOGO,LOME,CLINIQUE,CLINIQUE KOM'OMBO,"MEDECINE GENERALE, CHIRUGIE, GYNECOLOGIE OBSTETRIQUE, ANALYSES MEDICALES, IMAGERIE MEDICALE (Echo)",22 25 34 02;90 51 83 73;90 82 78 77,cliniquekom.ombo@gmail.com,6.2329375,1.1960625,Lome Agoe,"Agoe Assiyeye, A 100m de la Phcie VITAS, derrière la clinique la Famille, en face du Marché"
TOGO,LOME,CLINIQUE,CLINIQUE LA BARAKAT,"MEDECINE GENERALE, MEDECIN INTERNE, PEDIATRIE, NEONATOLOGIE, NEPHROLOGIE, NEUROLOGIE, MALADIES INFECTIEUSES, DERMATOLOGIE, CHIRURGIE (Générale, Digestive, Pédiatrique), GYNECOLOGIE OBSTETRIQUE, ANESTHESIE REANIMATION, ANALYSES MEDICALES (Hémato, Immuno, Biochimie, Hormono), IMAGERIE MEDICALE (Echo)",91499062 / 90221944,cliniquebarakat@gmail.com;clinicbarakat@gmail.com,6.2356875,1.1670625,Lome Agoè Fiovi ,"Agoè Fiovi, "
TOGO,LOME,CLINIQUE,CLINIQUE LA REFERENCE,"MEDECINE GENERALE, MEDECINE INTERNE, NEPHROLOGIE, HEPATO-GASTRO-ENTEROLOGIE",90198555;91518338,cliniquelareference@gmail.com;djagkodj11@gmail.com,6.1753125,1.1945625,Lome Djidjolé,"Djidjolé, 81 rue Aflao Gakli"
TOGO,LOME,CLINIQUE,CLINIQUE LA VICTOIRE,"MEDECINE GENERALE, MEDECINE INTERNE, NEUROLOGIE, CARDIOLOGIE, KINESITHERAPIE, ANALYSES MEDICALES  (Immuno, Bioch, Parasito)",22 25 32 43 ; 99467769 / 90353516,tontonmaxi@yahoo.fr,6.1878125,1.1951875,Lome Lome,Lome
TOGO,LOME,CLINIQUE,CLINIQUE LE BIEN ETRE,MEDECINE GENERALE,22 25 90 50,Pas d'adresse mail,6.1883125,1.1621875,Lome Lome,Lome
TOGO,LOME,CLINIQUE,CLINIQUE LES ANGES,CARDIOLOGIE,22 22 32 36,mesanges55@yahoo.fr,6.1489375,1.2124375,"Lome Tokoin Séminaire, 962, Bd. des Armées, en face du service des impôts","Tokoin Séminaire, 962, Bd. des Armées, en face du service des impôts"
TOGO,LOME,CLINIQUE,CLINIQUE LES MOINEAUX,PEDIATRIE,22 26 09 93,adgbadoe@yahoo.fr,6.2120625,1.2336875,"Lome Kégué, rue Kpatcha","Kégué, rue Kpatcha"
TOGO,LOME,CLINIQUE,CLINIQUE MEDICALE LES VICTORIEUX,"MEDECINE GENERALE, MEDECINE INTERNE, NEUROLOGIE, GYNECOLOGIE OBSTETRIQUE, KINESITHERAPIE, RADIOLOGIE ET IMAGERIE MEDICALE (Echo), ANALYSES MEDICALES (Hémato, Bacterio, Immuno, Bioch)",22 47 59 59 ; 70434334 / 90154436,cmlvictorieux@gmail.com; wisdom.adandogou@gmail.com,6.2335625,1.1326875,Lome Zopomahé,Zopomahé
TOGO,LOME,CLINIQUE,CLINIQUE MEDICO CHIRURGICALE ESPOIR BETHEL,"MEDECINE GENERALE, CHIRURGIE (Digestive, Générale, Pédiatrique, Reconstructrice), GYNECOLOGIE OBSTETRIQUE, HEPATO-GASTRO-ENTEROLOGIE, KINESITHERAPIE, ANALYSES MEDICALES (Hémato, Bacterio, Bioch), OTO-RHINO-LARYNGOLOGIE, TRAUMATOLOGIE, UROLOGIE, NEUROLOGIE, PEDIATRIE, NEONATOLOGIE, IMAGERIE MEDICALE",22 25 16 24 ; 92 90 10 69 / 90825727,gadzoda@yahoo.fr,6.2221875,1.1854375,Lome Avédji,Avédji
TOGO,LOME,CLINIQUE,CLINIQUE MEDICO CHIRURGICALE MARTIN LUTHER KING,"CHIRURGIE, MEDECINE GENERALE",22 50 32 33,cmlkclinique@gmail.com;christian.yenkey@gmail.com,6.1894375,1.2069375,"Lome Agbalépédogan, 235, Av. de la Chance, Face à Sazof","Agbalépédogan, 235, Av. de la Chance, Face à Sazof"
TOGO,LOME,CLINIQUE,CLINIQUE MEDICO CHIRURGICALE MAWUBEDZRO,"MEDECINE GENERALE, RADIOLOGIE, GYNECOLOGIE OBSTETRIQUE, PEDIATRIE, ANALYSES MEDICALES",22 25 04 21 / 90034668,cmc.mawubedzro@gmail.com;draaggm@gmail.com;cmcmawubedzro@gmail.com;takpaki@gmail.com,6.1731875,1.2009375,Lome Lome,Lome
TOGO,LOME,CLINIQUE,"CLINIQUE MERE ET ENFANT ""L'ETOILE""","MEDECINE GENERALE, GYNECOLOGIE OBSTETRIQUE, PEDIATRIE, CHIRURGIE PEDIATRIQUE, ANALYSES MEDICALES (Hemato, Bacterio, Immuno, Bioch, Parasito), OTO-RHINO-LARYNGOLOGIE, IMAGERIE MEDICALE (Echo, IRM)",22512946 ; 90092946 /93711777,clinmeetoile16@gmail.com;delatete@yahoo.fr,6.1844375,1.1986875,Lome Lome,Lome
TOGO,LOME,CLINIQUE,CLINIQUE OPHTALMOLOGIQUE LUMIERE DIVINE (C.O.L.D),OPHTALMOLOGIE,22257898 ; 93398702 / 91587858,ophtacold@gmail.com;emwod@hotmail.com,6.1871875,1.1929375,"Lomé, Totsi",3269 Av Pya
TOGO,LOME,CLINIQUE,CLINIQUE PERPETUEL SECOURS,"MEDECINE GENERALE, GYNECOLOGIE OBSTETRIQUE, CHIRURGIE, PEDIATRIE, ENDOCRINOLOGIE, CARDIOLOGIE, HEPATO-GASTRO-ENTEROLOGIE, ANALYSES MEDICALES, MEDECINE DU TRAVAIL, DERMATOLOGIE, NEUROLOGIE, OTO-RHINO-LARYNGOLOGIE (ORL), UROLOGIE",22 51  19 35 / 90 18 29 69 ; 99 68 82 56 / 91 57 33 74,cliniqueperpetuelsecours@gmail.com;accueilcps.lome@gmail.com,6.1811875,1.1973125,"Lome Lomé, Djidjolé, Rue 123 face CEG LA SAGESSE","Lomé, Djidjolé, Rue 123 face CEG LA SAGESSE"
TOGO,LOME,CLINIQUE,CLINIQUE POLYVALENTE DE L'ESPERANCE,"MEDECINE GENERALE, PEDIATRIE, CHIRURGIE (GENERALE, DIGESTIVE, GENERALE, MAXILLO-FACIALE, PEDIATRIQUE, CARDIO-VASCULAIRE, DENTAIRE, ORTHOPEDIQUE), TRAUMATOLOGIE, DERMATOLOGIE, ANESTHESIE-REANIMATION, GYNECOLOGIE OBSTETRIQUE, HEPATO-GASTRO-ENTEROLOGIE, KINESITHERAPIE, NEONATOLOGIE, NEUROCHIRURGIE, OTO-RHINO-LARYNGOLOGIE, IMAGERIE MEDICALE, UROLOGIE, STOMATOLOGIE, ANALYSES MEDICALES",22 26 66 11;90549618 / 90082972 / 90034665,cliniquesperance@yahoo.fr,6.1864375,1.2410625,"Lome Hédzranawoé, 400m après le Marché de Hédzranawoé, non loin de la Pharmacie Internationale","Hédzranawoé, 400m après le Marché de Hédzranawoé, non loin de la Pharmacie Internationale"
TOGO,LOME,CLINIQUE,CLINIQUE SAINTE CECILE,"ANESTHESIE REANIMATION, BIOLOGIE MEDICALE (Hemato, Bioch, Hormono), CHIRURGIE (DIGESTIVE, GENERALE), GYNECOLOGIE OBSTETRIQUE, KINESITHERAPIE, NEONATOLOGIE, PEDIATRIE, NEUROLOGIE, IMAGERIE MEDICALE (Echo)",91875165 // 91266162,edem.dagba@yahoo.fr,6.1724375,1.2313125,"Lomé, Adidogomé","Adigogomé, Awatamé"
TOGO,LOME,CLINIQUE,CLINIQUE SAINTE FATIMA,"CHIRURGIE, MEDECINE GENERALE, AMBULANCE",22 50 02 82/ 90 04 28 73/ 98 57 80 30 // (79301808),tamastrid@yahoo.fr,6.2290625,1.2038125,Avedji,"Avedji, non loin de l'école primaire privée LE ROITELET annexe"
TOGO,LOME,CLINIQUE,CLINIQUE SAINTE HELENE,"PEDIATRIE, MEDECINE GENERALE",22 21 65 39,clinicsaintehelene@gmail.com,6.1378125,1.2268125,Lome Tokoin Doulassamé,Tokoin Doulassamé
TOGO,LOME,CLINIQUE,CLINIQUE SANTE POUR TOUS,"MEDECINE GENERALE, GYNECOLOGIE OBSTETRIQUE, ANALYSES MEDICALES, CARDIOLOGIE",22267540,cliniquespt@yahoo.fr,6.1968125,1.2405625,Lome Kegue,Kegue
TOGO,LOME,CLINIQUE,CLINIQUE SŒUR ANNE-MARIE ROUE,"MEDECINE GENERALE, NEUROLOGIE, OPHTALMOLOGIE, OTO-RHINO-LARYNGOLOGIE, UROLOGIE, ORTHOPHONIE, KINESITHERAPIE, CARDIOLOGIE, ANALYSES MEDICALES (Hemato, Immuno, Biochimie, Parasito)",70322318;93891469 / 90 36 73 53;99480044,acef_togo@yahoo.fr,6.1815625,1.1913125,Lome Djidjolé,"Djidjolé, Rue à Droite après l'Hôtel Muget"
TOGO,LOME,CLINIQUE,CLINIQUE TAAMBA,NEPHROLOGIE,22 20 88 99/ 22 20 57 37,baritsee@yahoo.fr,6.1521875,1.2219375,Lome Lome,Lome
TOGO,KARA,CLINIQUE,CLINIQUE TOUT EST GRACE,MEDECINE GENERALE, 24 45 83 52,ali.doctuer@yahoo.fr;marcocheco2@gmail.com,9.5515625,1.2039375,Kara Kara,Kara
